name,Other Names,Temperament/Personality,Physical Characteristics,Colors,Height (size),Weight,Blood Type,Common Uses,Health,Gaited,Popular Traits,Feeding/Diet,Country of Origin,Ancestors,Breed Registry/Association,Behavioral Characteristics/ Personality,Physical Traits/Description,Coat Colors,Height/Size,Lifespan/Longevity,Health Problems,Type,Top Speed,"Associations, Registries & Breed Standards",Behavioral Characteristics & Temperament,Physical Traits,Ancestors (Bloodlines),Associations and Registries,Temperament and Personality,Physical Description,Lifespan,What are they used for,Height (Size),Diet (How much does a Belgian Draft horse eat),Behavioral Characteristics,Life Expectancy,Care,Time of Origin,Also Known As,Common Use,Year/Time of Development,Alternative Names,Recognized by,Children Riding,Time of Development,Other Names/Nicknames,Physical Descriptions/Traits,Lifespan/Expectancy,Movements,Life Span/ Life Expectancy,Breed Information,Origin,Pronunciation,Behavioral Characteristics/Qualities,Lifespan/Life Expectancy,Good For,Conservation Status,Exercise Needs,Care Requirements,Trainability,Diet/Feeding/Drinking,Behavioral Traits,Popular For,Suitable for first-time owners,Developed in,Suitable for New/Novice Owners,Height,Color,Common uses,Health problems,Feeding/ diet,Breed registry/Association,Common Nicknames,Size,Physical description,Gait,Temperamental Characteristics,Physical Descriptions,Blood Horse Type
Akhal Teke,Golden Horses,"Active, loyal, spirited, intelligent, gentle, sensitive","A refined head, straight or fairly convex profile, long ears, almond-shaped eyes, long, lightly muscled back, upright neck, flat croup, sloping shoulders, sparse mane and tail","Palomino, golden buckskin, perlino, cremello, chestnut, bay, black, gray; horses with cream gene have a metallic sheen","14.2-16 hands (147-163 cm, 58-64 inches)",900-1000 lbs (408-454 kg),Hot-blooded,"As a sport-horse for dressage, eventing, endurance riding, racing, show jumping","May be affected by genetic diseases including naked foal syndrome, hereditary cryptorchidism, Wobbler syndrome, Osteochondritis dissecans, Degenerative suspensory ligament desmitis","Yes; smooth, elastic strides, walk, trot, canter","Endurance, resilience, toughness, ability to survive in harsh native conditions, can live without much water or food","A sparse, high-protein diet with grass, alfalfa, pellets of mutton-fat, barley, dry lucerne",Turkmenistan,"Nisean, Turkoman horses","International Association of Akhal-Teke Breeding (MAAK), Akhal Teke Association of America",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andalusian,"Spanish Horse, Pura Raza Española, PRE",,,,,"Light;
Male: 512 kilograms (1,129 lb);
Female: 412 kilograms (908 lb)",Warm,"General riding, Endurance, Dressage, Horse shows, Performances",,,"Beautiful, high emotional intelligence, low maintenance, very strong, excellent movements during walking/running","General horse diet including hay, grass, grains, etc.",Spain (Iberian Peninsula),,,"Noble, Affectionate nature, Intelligent, Brave","The profile is typically convex with a large, sculpted head having bright eyes and a kind expression; the neck is arched with a short-coupled torso, resting atop muscular and round hindquarters; the cannon bones are short, while both the mane and tail are flowing","Traditional common colors were bay, black, grey, and chestnut, but they were also found in perlino, buckskin, palomino, and dun. Presently, mostly found in bay and grey; buckskin, pearl, and cremello are extremely rare","Stallions: 15.1½  hands (61.5 inches, 156 cm);
Mares: 15½ hands (60.5 inches, 154 cm)
(adult)",Around 25 years,Needs regular grooming to stay healthy; some cases of skin cancer have been reported,"Riding horse, Show horse, Utility horse",3.75 m/s (average),"International Andalusian & Lusitano Horse Association
Association of the Foundation Andalusian Horse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabian,"Arab, Arabian",,,,,"800 – 1,000 pounds",Warm,"Enhancement of other bloodlines, Racing, Show, Pleasure riding, Work",,,"Quick, multi-talented, efficient, excellent movements, good in jumping, easily trainable, sturdy","General horse diet including hay, grass, grains, etc.","Unknown;
Developed in the Middle East (especially, in the Arabian peninsula)",,,,,"Bay, black, chestnut, and gray are traditional colors; occasionally white, sabino, or rabicano patterns",14.1 – 15.1 hands (adult mares and studs/stallions),,"At least, six known genetic disorders have been reported, viz. Severe Combined Immunodeficiency (SCID), Lavender Foal Syndrome (LFS), Cerebellar abiotrophy (CA or CCA), Occipital Atlanto-Axial Malformation (OAAM), Equine Juvenile Epilepsy (or Juvenile Idiopathic Epilepsy), and Guttural Pouch Tympany (GPT), with the first two being conditionally fatal","Riding horse, Sport horse, Show horse, Work horse",,,"Noble, lively, intelligent, bold, affectionate","The profile is slightly concave, massive, compact and well-proportioned with a refined, wedge-shaped head ending in a short muzzle bearing large nostrils, a pair of expressive eyes and curved ears; the arched neck has a clean and refined throatlatch; the back part is short, while the tail is set high",Unknown,"World Arabian Horse Organization
Arabian Horse Association (USA)
The Arab Horse Society (UK)
Emirates Arabian Horse Society
Arabian Horse World
Arabian Jockey Club
New Zealand Arab Horse Breeders’ Society
Arabian Horse DataSource
Arabian Horse Society of Australia
Canadian Arabian Horse Registry
Arab Horse Society
Arab Horse Society of South Africa
National Arabian Horse Society of Russia (NOAL)
The Pyramid Society
Finnish Arabian Horse Society",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgian,"Belgian Horse, Belgian heavy horse, Belgian heavy draft, Belgisch Trekpaard, Brabant Trekpaard, Brabander, Brabancon, Cheval de trait Beige",,,"Chestnut or sorrel and roan with snow white markings on the legs, face, mane, and tail",,2000 kg (Male); 1575 kg (Female),Cold blooded,,"Subjected to more health issues than other breeds. Common diseases are
JEB (Junctional Epidermolysis Bullosa), a genetic disorder where newborn foals may lose a lot of their skin and show other abnormalities.
Chronic Progressive Lymphedema (swelling, thickening or hyperkeratosis and fibrosis of the distal limbs)
Mud fever
Azoturia",,"Hardy, and strong",,Belgium,The Flemish horse;,,,,,,,,,,,,,,,"Calm, docile, kind, willing, steady and easy-to-handle. Foals are very playful","Light and square head; straight or slightly concave profile; short, muscular neck; powerful loins; short, broad back; heavily muscled gaskins; medium-sized hooves; lean and strong legs with some amount of feathering;",30 years,"For draft works like ploughing, logging, pulling sleighs, hitches, and carriages, as well as for pleasure riding, show jumping, dressage, and endurance.",16.2 to 17 hands,Being a draft horse it needs a good amount of hay and grain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caspian,The Caspian,,,,,1050 pounds,Warm,"Dressage, jumping, mounted athletics, racing, pleasure riding, show, harness racing, competition, scurry driving",,,"Highly intelligent, multi-talented, easy trainability, adaptable to harness, easy to keep, skilled movements (sure-footed with long low strides)",,Iran (northern part),,,,,"Common colors include black, chestnut, gray, and bay;
piebald or skewbald (pinto) are not considered in the breed standards",10-12 hands (adult male and female average 11.2),,"Otherwise a healthy breed, some individuals have been reported to have suffered from laminitis, which often happens from under exercising and overfeeding","Sport horse, Show horse, Riding horse",,,,"The stature is relatively short, with a small skull having a vaulted forehead; the coat is fine and thin, while the neck is long and arched and the shoulders are sloped; the hindquarters are muscular and proportionate with tough hooves; the mane and the high set tail are luxurious and long",,"Caspian Horse Society, UK
Caspian Horse Society of the Americas",,,,,,,"Gentle, kind, alert, spirited, adaptable, eager, friendly",Around 25 years,"Feeding/Diet: Needs minimum forage; requires little or no grain supplement
(minimum supplements high in sugar or carbohydrates is essential)
Activities: Needs frequent exercise and attention",Around 3000 BC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exmoor,,"Friendly, trainable, good-natured, enjoy working","Stocky, sturdily built, deep chest, broad back and croup, short legs, hard hooves, relatively large lower jaws with an extra tooth, large head with small ears, large, pronounced eyes; a winter coat with a wooly underlayer and an upper layer consisting of longer hairs, thick, long mane, and tail","Brown or dark bay with black points, mealy or buff markings around the muzzle, eyes, flanks and underbelly; white markings are not allowed","11.1-12.3 hands (114-130 cm, 45-51 inches); some may reach 13.2 hands",About 700-800 lbs (318-363 kg),Warm-blooded,"For agility, long-distance riding, showing, and driving; also for conservation grazing and tending livestock; previously used as pit ponies",A healthy breed; resistant to common equine diseases,"Yes, comfortable, straight, smooth movement","Endurance, balanced appearance, strength, hooded eye, short coarse hairs on top of the tail","Grasses, heather, gorse, rushes",United Kingdom,Wild horses like Tarpan and Pottok may have had influenced the Exmoor ponies,The Exmoor Pony Society – breed standard,,,,,,,,,,,,,,,,,,,,,,,,Celtic pony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finnhorse,"Finnish Horse, Suokki",,,,,Varies between types,,"General riding, dressage, transportation, mounted-athletics, jumping, work activities",,,"Multi-talented, easy trainability, durable","A normal diet including hay, grass, grains, etc.",Finland,,,,,"Chestnut (most common), chestnut with flaxen dilution, grey, bay, black, roan, palomino, silver dapple, skewbald pinto;
often have white markings on head and legs",15 – 17 hands (adult),,"adaptable, robust and healthy","Riding Horse, Sports Horse, Show Horse, Work Horse",,,,"Generally solid build; dry and strongly-muscled, with good hooves and strong bone, but physique varies considerably because of their different body types",,,,,,,,,"Noble, lively, willing, adaptable, docile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franches-Montagnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Trotter,"Norman Trotter, Trotteur Francais",,"Slightly large head, wide eyes, deep, broad chest, prominent breastbone, straight limbs, strong hooves, strong back and muscular quarters","Chestnut, brown, black, bay and gray (very rare)",,500 kg to 650 kg,,,"Healthy with no known breed-related problems, though owners should ensure a healthy living and regular vet checkup",Maintains a diagonal two beat trotting gait,"Intelligence, endurance, agility and determination.",Normally their diet includes grain and hay,France,"Norman stock horse, English Thoroughbred, American standardbred, and Hackney",,,,,,,,,,,,,,,"Calm, well-behaved, submissive, easy-to-train",,,,15 to 17 hands (60 to 65 inches; 152 to 165 cm),,,,,,,"Racing, harness racing, driving",19th century,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanoverian,,"Bold, sensible, intelligent, willing, trainable, determined, disciplined, docile, calm, level-headed","A powerful, muscular body; a strong back, sturdy limbs; and athletic movement","Black, bay, gray, and chestnut are common; cremello, palomino, buckskin, and excessively white horses are not allowed","15.3-17.2 hands (160-178 cm, 63-70 inches); most horses measure 16-16.2 hands (163-168 cm, 64-66 inches)","A matured Hanoverian can weigh around 1,400 lbs (635 kg)",Warm,,"Hanoverians with the brand usually have a sound health. However, osteochondrosis can affect their joints; it can contribute to Wobbler disease, navicular syndrome, and osteoarthrosis",Yes,"Beauty, grace, athleticism, strength, even temperament",Good quality forage including fresh grass and dried hay; grain mixtures can be given to complement the forage; fresh supply of water should be available,Celle State Stud in Germany,"Thoroughbred, Cleveland Bay, Holsteiner, Prussian, Andalusian, Neapolitan, and Mecklenburg horses",,,,,,,,,,,,,,,,,,,,,,25-35 years,,,,"Previously a carriage horse; now used for General Riding, Competitive Dressage, Show Jumping and Hunting, Eventing, and Equestrian Sports",In 1735,"Hannoverian, Hannoveraner",The Hanoverian Verband,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
